sample	MSMclade_isolate
ERR1364260	0
ERR1364261	0
ERR1364262	0
ERR1364263	1
ERR1364264	0
ERR1364265	1
ERR1364266	0
ERR1364267	0
ERR1364268	0
ERR1364269	0
ERR1364270	0
ERR1364271	0
ERR1364272	0
ERR1364273	1
ERR1364274	0
ERR1364275	1
ERR1364276	1
ERR1364277	1
ERR1364278	0
ERR1364279	0
ERR1364280	1
ERR1364281	0
ERR1364282	1
ERR1364283	1
ERR1364284	0
ERR1364285	0
ERR1364286	0
ERR1364287	0
ERR1364288	0
ERR1364289	1
ERR1364290	1
ERR1364291	0
ERR1364292	1
ERR1364293	0
ERR1364294	0
ERR1364295	0
ERR1364296	0
ERR1364297	0
ERR1364298	0
ERR1364299	1
ERR1364300	0
ERR1364301	1
ERR1364302	1
ERR1364303	1
ERR1364304	1
ERR1364305	0
ERR1364306	0
ERR1364307	0
ERR1364308	0
ERR1364309	1
ERR1364310	1
ERR1364311	1
ERR1364312	1
ERR1364313	1
ERR1364314	0
ERR1364315	1
ERR1364316	1
ERR1364317	0
ERR1364318	1
ERR1364319	1
ERR1364320	0
ERR1364321	1
ERR1364322	1
ERR1364323	0
ERR1364324	0
ERR1364325	0
ERR1364326	1
ERR1364327	1
ERR1364328	0
ERR1364329	1
ERR1364330	0
ERR1516063	0
ERR1516064	1
ERR1516065	1
ERR1516066	0
ERR1516067	0
ERR1516068	0
ERR1516069	1
ERR1516070	0
ERR1516071	1
ERR1516072	0
ERR1516073	0
ERR1516074	0
ERR1516075	0
ERR1516076	0
ERR1516077	1
ERR1516078	0
ERR1516079	0
ERR1516080	0
ERR1516081	1
ERR1516082	1
ERR1516083	1
ERR1516084	0
ERR1516085	1
ERR1516086	0
ERR1516087	0
ERR1516088	0
ERR1541572	1
ERR1541573	1
ERR1541574	1
ERR1541575	1
ERR1541576	1
ERR1541577	1
ERR1541578	0
ERR1541579	0
ERR1541580	1
ERR1541581	0
ERR1541582	1
ERR1541583	0
ERR1541584	0
ERR1541585	0
ERR1541586	0
ERR1541587	0
ERR1541588	1
ERR1541589	0
ERR1541590	0
ERR1541591	0
ERR1541592	0
ERR1541593	0
ERR1541594	1
ERR1541595	0
ERR1541596	1
ERR1541597	0
ERR1541598	0
ERR1541599	1
ERR1541600	0
ERR1541601	0
ERR1541602	1
ERR1541603	0
ERR1541604	0
ERR1541605	1
ERR1541606	1
ERR1541607	1
ERR1541608	0
ERR1541609	0
ERR1541610	1
ERR1541611	1
ERR1541612	1
ERR1541613	1
ERR1541614	0
ERR1541615	0
ERR1541616	0
ERR1541617	0
ERR1541618	1
ERR1541619	0
ERR1541620	0
ERR572876	0
ERR572877	0
ERR572878	0
ERR572879	0
ERR572880	0
ERR572882	0
ERR572883	0
ERR572884	0
ERR572886	0
ERR572889	0
ERR572890	0
ERR572891	0
ERR572892	0
ERR572893	0
ERR572894	0
ERR572895	0
ERR572896	0
ERR572897	0
ERR572898	0
ERR572899	0
ERR572900	0
ERR572902	0
ERR572903	0
ERR572904	0
ERR572905	0
ERR572906	0
ERR572907	0
ERR572908	0
ERR572909	0
ERR572911	0
ERR572913	0
ERR572914	0
ERR572915	1
ERR572916	0
ERR572917	0
ERR572918	0
ERR572919	0
ERR572920	0
ERR572921	0
ERR572922	0
ERR572923	0
ERR572924	0
ERR572925	0
ERR572926	0
ERR572927	0
ERR572928	0
ERR572929	0
ERR572930	0
ERR572931	0
ERR572932	0
ERR572933	0
ERR572934	0
ERR572935	0
ERR572936	0
ERR572937	0
ERR572938	0
ERR572940	0
ERR572941	0
ERR572942	0
ERR572943	0
ERR572944	0
ERR572945	0
ERR572946	0
ERR572947	0
ERR572948	1
ERR572949	1
ERR572950	1
SRR10005831	1
SRR10005842	0
SRR10005843	0
SRR10005849	1
SRR10005855	1
SRR10006170	0
SRR10013363	0
SRR10017960	0
SRR10017963	0
SRR10019095	0
SRR10019158	0
SRR10019371	0
SRR10036688	1
SRR10036691	0
SRR10037522	0
SRR10037526	0
SRR10037531	0
SRR10037533	0
SRR10037861	0
SRR10037874	0
SRR10049379	0
SRR10049385	0
SRR10049395	0
SRR10049397	0
SRR10049402	0
SRR10049472	0
SRR10053431	0
SRR10053434	0
SRR10056637	0
SRR10056645	1
SRR10081088	0
SRR10088443	0
SRR10088447	0
SRR10088449	0
SRR10088450	0
SRR10088452	0
SRR10088453	1
SRR10088458	0
SRR10088460	0
SRR10088462	0
SRR10088467	0
SRR10088468	0
SRR10088470	0
SRR10088476	0
SRR10120175	0
SRR10120177	0
SRR10120187	0
SRR10120188	0
SRR10120190	0
SRR10120191	1
SRR10120197	0
SRR10133041	1
SRR10133060	1
SRR10133063	1
SRR10133081	0
SRR10133086	0
SRR10198850	0
SRR10198854	1
SRR10198857	1
SRR10212129	0
SRR10212132	0
SRR10212135	1
SRR10212142	0
SRR10212145	0
SRR10212151	0
SRR10212152	0
SRR10212177	0
SRR10212189	0
SRR10212199	0
SRR10212208	0
SRR10212215	0
SRR10212222	0
SRR10212223	0
SRR10212224	0
SRR10212225	0
SRR10212226	1
SRR10219454	1
SRR10219470	0
SRR10219474	0
SRR10228131	1
SRR10228149	1
SRR10228151	0
SRR10228154	0
SRR10228158	0
SRR10228160	1
SRR10228164	1
SRR10228169	0
SRR10228512	0
SRR10228514	0
SRR10228515	0
SRR10228516	0
SRR10228517	0
SRR10228527	0
SRR10228554	0
SRR10228563	0
SRR10228564	0
SRR10231898	0
SRR10231904	0
SRR10231913	0
SRR10231915	0
SRR10231919	0
SRR10236641	0
SRR10236643	1
SRR10236644	0
SRR10236645	0
SRR10236652	0
SRR10247130	1
SRR10247134	0
SRR10247137	0
SRR10247303	0
SRR10247320	0
SRR10247325	0
SRR10247333	1
SRR10247336	0
SRR10247341	1
SRR10247343	0
SRR10247345	0
SRR10247353	0
SRR10247355	0
SRR10247373	0
SRR10270574	0
SRR10270580	0
SRR10271367	1
SRR10271371	0
SRR10271372	1
SRR10283332	0
SRR10283336	0
SRR10302287	1
SRR10302325	0
SRR10302326	0
SRR10302327	0
SRR10312182	0
SRR10312194	0
SRR10312197	0
SRR10312216	0
SRR10313628	0
SRR10313630	0
SRR10313634	0
SRR10313638	0
SRR10314873	1
SRR10314883	0
SRR10314892	0
SRR10319756	0
SRR10319758	0
SRR10319759	0
SRR10319760	0
SRR10326061	0
SRR10350825	0
SRR10350826	0
SRR10350838	0
SRR10352168	0
SRR10357090	0
SRR10357092	0
SRR10357098	1
SRR10380789	0
SRR10380797	0
SRR10380815	0
SRR10380818	1
SRR10380828	0
SRR10380833	0
SRR10380950	0
SRR10386489	0
SRR10386568	1
SRR10397392	1
SRR10397398	0
SRR10397400	0
SRR10397405	1
SRR10397409	1
SRR10397410	1
SRR10397415	0
SRR10397416	0
SRR10397421	0
SRR10397428	0
SRR10397429	0
SRR10397433	0
SRR10397434	0
SRR10397439	0
SRR10397441	0
SRR10403891	0
SRR10403899	1
SRR10414462	0
SRR10419612	1
SRR10419813	0
SRR10419841	0
SRR10424219	1
SRR10431583	0
SRR10431617	0
SRR10431625	0
SRR10431627	0
SRR10431628	0
SRR10452794	0
SRR10452798	0
SRR10452817	0
SRR10452823	0
SRR10452827	0
SRR10466993	1
SRR10466996	0
SRR10466998	0
SRR10479290	0
SRR10491344	0
SRR10491345	0
SRR10491358	0
SRR10491379	0
SRR10513252	0
SRR10513258	0
SRR10519420	0
SRR10519435	1
SRR10519436	0
SRR10519439	0
SRR10519443	1
SRR10519446	0
SRR10519449	0
SRR10519450	1
SRR10519452	0
SRR10519454	0
SRR10519455	0
SRR10519456	1
SRR10519457	0
SRR10519458	0
SRR10519460	0
SRR10519464	1
SRR10521908	0
SRR10521910	0
SRR10521975	0
SRR10527348	0
SRR10527349	0
SRR10527351	0
SRR10527357	0
SRR10527359	0
SRR10527360	0
SRR10527361	1
SRR10559537	0
SRR10559548	0
SRR10559562	1
SRR10559571	0
SRR10559575	0
SRR10559595	1
SRR10559611	1
SRR10566687	1
SRR10598975	1
SRR10598996	0
SRR10599003	0
SRR10599015	1
SRR10599114	0
SRR10599116	1
SRR10599572	0
SRR10599988	0
SRR10599991	1
SRR10605712	0
SRR10605725	1
SRR10605730	0
SRR10666900	0
SRR10666901	0
SRR10666902	0
SRR10666903	1
SRR10666906	0
SRR10666907	0
SRR10693122	0
SRR10693124	0
SRR10693127	0
SRR10693153	0
SRR10693155	0
SRR10693156	0
SRR10698112	0
SRR10698319	0
SRR10698324	0
SRR10698329	1
SRR10698344	0
SRR10741821	0
SRR10741844	0
SRR10741850	1
SRR10742422	1
SRR10742427	0
SRR10742459	0
SRR10748667	0
SRR10748691	1
SRR10760841	1
SRR10760844	0
SRR10760851	1
SRR10760859	0
SRR10760863	0
SRR10763693	0
SRR10799753	0
SRR10799755	0
SRR10799756	0
SRR10799757	0
SRR10806384	0
SRR10806390	0
SRR10806392	0
SRR10806404	0
SRR10806408	1
SRR10843782	0
SRR10843789	0
SRR10843857	0
SRR10843863	0
SRR10852206	1
SRR10858714	1
SRR10858718	1
SRR10858724	0
SRR10858744	0
SRR10858745	1
SRR10874263	0
SRR10874266	0
SRR10874275	1
SRR10874279	1
SRR10879425	1
SRR10905046	0
SRR10905047	0
SRR10905048	0
SRR10905056	0
SRR10915001	1
SRR10915006	0
SRR10915017	0
SRR10915029	0
SRR10916960	1
SRR10916962	1
SRR10916964	0
SRR10916967	0
SRR10916971	0
SRR10916972	0
SRR10916983	0
SRR10917029	1
SRR10962096	1
SRR10962101	0
SRR10962107	1
SRR10962109	0
SRR10962112	1
SRR10962235	0
SRR10971409	1
SRR10971421	1
SRR10985489	0
SRR10985496	0
SRR10985497	0
SRR10985499	0
SRR10996896	0
SRR11006959	0
SRR11006962	0
SRR11007319	0
SRR11016590	0
SRR11016591	0
SRR11016592	1
SRR11016597	1
SRR11041346	0
SRR11041359	0
SRR11041413	0
SRR11041457	1
SRR11041496	0
SRR11041497	0
SRR11041540	0
SRR11041598	0
SRR11048309	1
SRR11048312	0
SRR11048338	1
SRR11048340	0
SRR11048341	0
SRR11068382	0
SRR11068396	0
SRR11080621	0
SRR11080624	1
SRR11080626	0
SRR11096643	0
SRR11096646	0
SRR11096650	0
SRR11096683	1
SRR11096690	0
SRR11096692	0
SRR11096700	1
SRR11096701	0
SRR11096714	0
SRR11142322	0
SRR11142323	0
SRR11142340	1
SRR11142342	0
SRR11142348	0
SRR11142351	0
SRR11142356	0
SRR11142357	0
SRR11142362	0
SRR11147223	0
SRR11195319	0
SRR11195324	1
SRR11206403	0
SRR11206407	1
SRR11206457	1
SRR11206529	1
SRR11215155	1
SRR11215163	0
SRR11215168	1
SRR11215171	0
SRR11215178	0
SRR11215189	0
SRR11215190	0
SRR11215191	0
SRR11215220	0
SRR11215226	0
SRR11215228	0
SRR11215240	0
SRR11361399	1
SRR11361723	0
SRR11361736	0
SRR11361741	0
SRR11361747	1
SRR11361777	1
SRR11361780	1
SRR11361815	0
SRR11361817	1
SRR11361819	1
SRR11361821	0
SRR11361830	0
SRR11361836	0
SRR11361847	0
SRR11361852	1
SRR11361855	1
SRR11361862	1
SRR11361864	1
SRR11363384	0
SRR11363385	1
SRR11364951	0
SRR11425038	0
SRR11425053	0
SRR11425054	1
SRR11429592	0
SRR11442258	1
SRR11442273	1
SRR11442278	0
SRR11442297	1
SRR11456904	1
SRR11467424	1
SRR11479016	0
SRR11479055	0
SRR11479060	0
SRR11488035	0
SRR11488036	0
SRR11488037	0
SRR11488038	0
SRR11488041	1
SRR11488049	1
SRR11488050	1
SRR11513765	1
SRR11514034	1
SRR11550299	0
SRR11567159	0
SRR11583532	0
SRR11583619	1
SRR11583624	1
SRR11608761	0
SRR11657088	1
SRR11791545	1
SRR11812394	1
SRR11885016	0
SRR11885019	0
SRR11927480	1
SRR12091841	0
SRR12103267	0
SRR12109926	0
SRR12109946	0
SRR12109949	1
SRR12144664	0
SRR12212053	0
SRR12212054	0
SRR12251255	1
SRR12251261	0
SRR12251265	0
SRR12263129	0
SRR12323694	1
SRR12354742	1
SRR12415948	0
SRR12462984	0
SRR12462987	1
SRR12541337	1
SRR12594459	0
SRR12630737	0
SRR12634814	0
SRR12718012	0
SRR12718013	1
SRR12718018	0
SRR12742984	0
SRR12769803	0
SRR12775230	1
SRR12826288	0
SRR12884838	1
SRR12963009	1
SRR12963015	1
SRR12963019	0
SRR12963023	1
SRR13004325	0
SRR13153593	0
SRR13168767	1
SRR13239049	1
SRR13248013	1
SRR13290204	1
SRR13310629	0
SRR13340760	0
SRR13393899	0
SRR15361585	0
SRR15361795	1
SRR3530149	0
SRR3530302	0
SRR3530303	0
SRR3530315	0
SRR3530316	0
SRR3530337	1
SRR3530338	0
SRR3530349	0
SRR3530360	0
SRR3530394	0
SRR3530395	0
SRR3530396	0
SRR3530399	0
SRR3530400	0
SRR3530401	0
SRR3530402	0
SRR3530405	0
SRR3530406	0
SRR3530407	0
SRR3530408	0
SRR3530409	1
SRR3530410	0
SRR3530413	0
SRR3530414	0
SRR3530415	0
SRR3530417	0
SRR3530419	0
SRR3530420	0
SRR3530421	0
SRR3530423	0
SRR3530424	0
SRR3530427	0
SRR3530428	0
SRR3530429	1
SRR3530430	0
SRR3530431	0
SRR3530432	0
SRR3530433	0
SRR3530434	0
SRR3530436	0
SRR3530437	1
SRR3530438	0
SRR3530439	0
SRR3530442	0
SRR3530443	0
SRR3530444	0
SRR3530445	0
SRR3530446	0
SRR3530447	0
SRR3530448	0
SRR3530449	0
SRR3530451	0
SRR3530453	0
SRR3530454	0
SRR3530455	0
SRR3530456	0
SRR3530457	0
SRR3530458	0
SRR3530459	0
SRR3530460	0
SRR3530461	1
SRR3530462	1
SRR3530470	0
SRR3530506	0
SRR3530509	0
SRR3530511	0
SRR3530513	0
SRR3530514	0
SRR3530517	0
SRR3530518	0
SRR3530519	1
SRR3530520	0
SRR3530521	0
SRR3530522	0
SRR3530523	0
SRR3530524	0
SRR3530526	1
SRR3530528	0
SRR3530529	0
SRR3530531	1
SRR3530532	0
SRR3530533	0
SRR3530534	0
SRR3530535	0
SRR3530536	0
SRR3530537	0
SRR3530538	0
SRR3530540	1
SRR3530541	0
SRR3530543	0
SRR3530544	0
SRR3530545	0
SRR3530546	0
SRR3530547	0
SRR3530548	0
SRR3530550	0
SRR3530552	0
SRR3530553	1
SRR3530556	0
SRR3530557	0
SRR3530559	0
SRR3530560	0
SRR3530561	0
SRR3530562	0
SRR3530564	0
SRR3530565	0
SRR3530568	1
SRR3530571	1
SRR3530572	1
SRR3530573	0
SRR3530574	0
SRR3530575	0
SRR3530576	0
SRR3530577	0
SRR3530580	0
SRR3530581	0
SRR3530584	0
SRR3530585	0
SRR3530587	1
SRR3530590	1
SRR3530591	0
SRR3530592	0
SRR3530594	1
SRR3530598	0
SRR3530599	0
SRR3530600	0
SRR3530601	0
SRR3530602	0
SRR3530603	0
SRR3530604	0
SRR3530605	0
SRR3530606	1
SRR3530607	0
SRR3530608	0
SRR3530609	1
SRR3530610	0
SRR3530611	0
SRR3530612	1
SRR3530613	0
SRR3530614	1
SRR3530615	0
SRR3530617	0
SRR3530619	1
SRR3530620	0
SRR3530621	0
SRR3530622	0
SRR3530623	0
SRR3530624	1
SRR3530625	0
SRR3530627	1
SRR3530629	0
SRR3530630	0
SRR3530631	0
SRR3530632	0
SRR3530633	0
SRR3530634	0
SRR3530635	0
SRR3530637	0
SRR3530639	1
SRR3530641	0
SRR3530642	0
SRR3530643	0
SRR3530644	0
SRR3530645	0
SRR3530646	0
SRR3530738	1
SRR3530749	1
SRR3530760	0
SRR3530772	0
SRR3530784	0
SRR3530806	0
SRR3530810	0
SRR3530811	0
SRR3530813	0
SRR3530824	0
SRR3530842	0
SRR3530847	0
SRR3530858	0
SRR3530859	0
SRR3530860	0
SRR3531021	0
SRR3531023	0
SRR3531024	0
SRR3531025	0
SRR3531026	0
SRR3531027	0
SRR3531028	0
SRR3531030	0
SRR3531041	0
SRR3531052	0
SRR3531063	0
SRR3531074	1
SRR3531075	0
SRR3531088	0
SRR3531230	1
SRR3531232	0
SRR3531233	0
SRR3531234	0
SRR3531235	0
SRR3531236	0
SRR3531248	0
SRR3531249	0
SRR3531251	0
SRR3531344	0
SRR3531354	0
SRR3531356	0
SRR3531421	0
SRR3531423	0
SRR3531441	0
SRR3531445	1
SRR3531446	1
SRR3531447	0
SRR3531448	0
SRR3531450	0
SRR3531451	0
SRR3531453	0
SRR3531485	0
SRR3531497	0
SRR3531508	0
SRR3531651	0
SRR3531652	0
SRR3531674	0
SRR3531696	0
SRR3531697	0
SRR3531698	0
SRR3531699	0
SRR3531710	0
SRR3531732	0
SRR3531755	0
SRR3531766	0
SRR3531777	0
SRR3531778	0
SRR3531779	0
SRR3531780	0
SRR3531781	0
SRR3531783	0
SRR3531844	0
SRR3531847	1
SRR3531848	0
SRR3531849	0
SRR3531850	0
SRR3531851	0
SRR3531852	0
SRR3531854	0
SRR3531855	0
SRR3531856	0
SRR3531857	1
SRR3531858	0
SRR3531859	0
SRR3531860	0
SRR3531861	0
SRR3531862	0
SRR3531863	0
SRR3531865	0
SRR3531867	0
SRR3531868	0
SRR3531869	0
SRR3531870	0
SRR3531872	0
SRR3531873	0
SRR3531876	0
SRR3531877	0
SRR3531878	0
SRR3531880	0
SRR3531881	0
SRR3531882	1
SRR3531883	0
SRR3531884	0
SRR3531885	0
SRR3531890	0
SRR3531891	1
SRR3531892	0
SRR3531893	1
SRR3531895	0
SRR3531896	0
SRR3531898	0
SRR3531899	0
SRR3531900	1
SRR3531901	0
SRR3531902	0
SRR3531904	0
SRR3531905	1
SRR3531906	0
SRR3531907	0
SRR3531908	0
SRR3531909	1
SRR3531910	0
SRR3531913	0
SRR3531914	0
SRR3531916	0
SRR3531917	1
SRR3531918	0
SRR3531919	0
SRR3531920	0
SRR3531921	0
SRR3531922	0
SRR3531923	0
SRR3742211	0
SRR3742249	0
SRR3742251	1
SRR3742259	0
SRR3742261	1
SRR3742264	1
SRR3742265	0
SRR3742271	0
SRR4181402	0
SRR4181483	0
SRR4181486	0
SRR4181531	0
SRR4181535	0
SRR4181557	0
SRR4181563	0
SRR4181568	0
SRR4181576	0
SRR4181581	0
SRR4181583	0
SRR4181596	0
SRR4181604	0
SRR4184730	0
SRR4184734	0
SRR4184737	0
SRR4184747	0
SRR4184751	0
SRR4184754	0
SRR4184779	0
SRR4184780	0
SRR4184791	0
SRR4184830	0
SRR4184845	1
SRR4184854	1
SRR4192077	1
SRR4192084	0
SRR4192094	1
SRR4192109	1
SRR4192110	0
SRR4192118	0
SRR4192129	1
SRR4192135	0
SRR4193282	1
SRR4193396	1
SRR4193518	1
SRR4194269	1
SRR4194446	0
SRR4195474	1
SRR4195475	0
SRR4195483	0
SRR4195484	0
SRR4195487	1
SRR4195489	1
SRR4195491	0
SRR4195588	0
SRR4195624	1
SRR4195625	1
SRR4195635	1
SRR4195639	1
SRR4195703	0
SRR4195720	1
SRR4195723	1
SRR4195724	1
SRR4195729	1
SRR4195733	1
SRR4195739	1
SRR4195741	1
SRR4195745	1
SRR4195748	0
SRR4195750	1
SRR4195763	1
SRR4195766	0
SRR4195769	0
SRR4195771	1
SRR4195779	1
SRR4195781	0
SRR4195783	0
SRR4195785	1
SRR4195791	0
SRR4195793	1
SRR4786031	0
SRR4786055	0
SRR4786133	0
SRR4786193	0
SRR4786202	0
SRR4786252	1
SRR4786271	1
SRR4786404	0
SRR4786425	0
SRR4786456	0
SRR4786539	1
SRR4786540	0
SRR4786652	0
SRR4786784	0
SRR4786830	0
SRR4786908	1
SRR4786910	0
SRR4786911	0
SRR4786926	0
SRR4786997	0
SRR4787057	0
SRR4787080	0
SRR4787081	0
SRR4787145	0
SRR4787152	0
SRR4787156	0
SRR4787157	1
SRR4787170	0
SRR4787172	1
SRR4787175	1
SRR4787185	0
SRR4787187	0
SRR4787188	0
SRR4787190	1
SRR4787192	0
SRR4787193	0
SRR4787194	0
SRR4787197	0
SRR4787199	0
SRR4787210	0
SRR4787213	1
SRR4787216	0
SRR4787217	0
SRR4787230	0
SRR4787262	0
SRR4787266	1
SRR4787267	1
SRR4787270	0
SRR4787272	0
SRR4787281	0
SRR4787283	0
SRR4787300	0
SRR4787302	0
SRR4787315	0
SRR4787316	0
SRR4787323	0
SRR4787324	0
SRR4787328	0
SRR4787341	0
SRR4787342	0
SRR4787354	0
SRR4787355	0
SRR4787356	0
SRR4787360	0
SRR4787365	1
SRR4787372	0
SRR4787376	0
SRR4787380	1
SRR4787385	0
SRR4787387	0
SRR4787393	1
SRR4787398	0
SRR4787409	0
SRR4787412	0
SRR4787413	0
SRR4787424	0
SRR4787425	0
SRR4787426	1
SRR4787433	0
SRR4787437	0
SRR4787440	1
SRR4787714	0
SRR4787718	0
SRR4787725	1
SRR4787736	0
SRR4787741	0
SRR4787742	0
SRR4787752	0
SRR4787753	0
SRR4787757	1
SRR4787758	0
SRR4787761	1
SRR4787764	0
SRR4787768	0
SRR4787775	0
SRR4787778	0
SRR4787785	1
SRR4787786	1
SRR4787796	0
SRR4787810	0
SRR4787823	1
SRR4787826	0
SRR4787828	0
SRR4787841	0
SRR4787844	0
SRR4787847	0
SRR4787849	0
SRR4787850	1
SRR4787852	1
SRR4787871	0
SRR4787874	0
SRR4787881	0
SRR4787884	1
SRR4787895	0
SRR4787907	1
SRR4787908	1
SRR4787933	0
SRR4788072	0
SRR4788073	0
SRR4788074	1
SRR4788076	0
SRR4788085	0
SRR4788088	1
SRR4788094	0
SRR4788100	0
SRR4788102	0
SRR4788104	1
SRR4788108	1
SRR4788114	0
SRR4788138	1
SRR4788140	1
SRR4788145	0
SRR4788147	0
SRR4788150	0
SRR4788154	0
SRR4788157	0
SRR4788159	1
SRR4788161	0
SRR4788165	0
SRR4788167	0
SRR4788171	1
SRR4788172	0
SRR4788177	0
SRR4788206	0
SRR4788208	0
SRR4788223	1
SRR4788227	0
SRR4788240	0
SRR4788242	0
SRR4788245	0
SRR4788247	0
SRR4788253	0
SRR4788259	1
SRR4788262	0
SRR4788263	1
SRR4788269	1
SRR4788271	0
SRR4788277	1
SRR4788282	0
SRR4788283	0
SRR4788294	0
SRR4788296	0
SRR4788308	0
SRR4788318	0
SRR4788326	1
SRR4788343	0
SRR4788350	0
SRR4788357	1
SRR4788366	0
SRR4788369	0
SRR4788374	0
SRR4897047	0
SRR4897050	0
SRR4897055	0
SRR4897056	0
SRR4897060	0
SRR4897069	1
SRR4897074	0
SRR4897090	0
SRR4897093	0
SRR4897109	0
SRR4897113	0
SRR4897118	1
SRR4897119	0
SRR4897123	1
SRR4897125	0
SRR4897131	1
SRR4897161	0
SRR4897162	0
SRR4897167	0
SRR4897175	1
SRR4897179	1
SRR4897181	1
SRR4897185	0
SRR4897194	0
SRR4897201	1
SRR4897212	1
SRR4897213	0
SRR4897215	0
SRR4897217	0
SRR4897235	0
SRR4897238	1
SRR4897241	0
SRR4897244	0
SRR4897248	0
SRR4897262	0
SRR4897265	0
SRR4897267	0
SRR4897275	0
SRR4897280	0
SRR4897292	0
SRR4897294	0
SRR4897297	1
SRR4897301	1
SRR4897305	0
SRR4897306	0
SRR4897321	0
SRR4897326	0
SRR4897331	0
SRR4897351	0
SRR4897353	0
SRR4897357	1
SRR4897397	0
SRR4897399	0
SRR4897422	1
SRR4897438	0
SRR4897447	0
SRR4897449	0
SRR4897456	0
SRR4897469	0
SRR4897472	0
SRR4897483	0
SRR4897492	1
SRR4897494	0
SRR4897508	0
SRR4897525	0
SRR4897527	1
SRR4897529	1
SRR4897541	0
SRR4897544	0
SRR4897545	0
SRR4897556	1
SRR4897568	1
SRR4897574	0
SRR4897575	1
SRR4897579	0
SRR4897581	0
SRR4897591	0
SRR4897609	0
SRR4897613	0
SRR4897615	0
SRR4897616	0
SRR4897626	0
SRR4897632	0
SRR4897640	0
SRR4897644	1
SRR4897651	0
SRR4897660	0
SRR4897662	0
SRR4897664	0
SRR4897672	0
SRR4897684	0
SRR4897688	0
SRR4897702	0
SRR4897703	0
SRR4897713	0
SRR4897715	0
SRR4897735	0
SRR4897738	0
SRR4897747	1
SRR4897750	1
SRR4897756	0
SRR4897757	0
SRR4897759	0
SRR4897764	0
SRR4897766	0
SRR4897770	1
SRR4897774	0
SRR4897787	0
SRR4897798	0
SRR4897803	0
SRR4897817	0
SRR4897826	0
SRR4897828	0
SRR4897831	0
SRR4897833	0
SRR5005260	0
SRR5005272	0
SRR5005277	0
SRR5005282	1
SRR5005288	0
SRR5005289	0
SRR5005315	0
SRR5005322	0
SRR5005331	0
SRR5005337	0
SRR5005341	0
SRR5005344	0
SRR5005348	1
SRR5005355	0
SRR5005407	1
SRR5005420	0
SRR5005421	0
SRR5005423	0
SRR5005435	0
SRR5005438	0
SRR5005493	0
SRR5005495	0
SRR5005496	0
SRR5005501	1
SRR5005508	0
SRR5005517	0
SRR5005522	1
